,Date,Title
0,1985-06-25, DRI seizes adani HSD stock 
1,2001-07-20,DRI seizes Adani HSD stock
2,2001-09-17,Badani replaces injured Laxman for SA tour
3,2001-09-17,Badani ready to win his place back
4,2002-01-07, adani arm plans 331cr gas supply unit 
5,2002-01-07,Adani arm plans 331cr gas supply unit
6,2002-01-11,Sehwag; Badani power seniors to victory
7,2002-01-16,Break was a blessing in disguise; says Badani
8,2002-01-18,When Uttam Thadani met Thos Grossmeyer
9,2002-01-18,Break was a blessing in disguise: Badani
10,2002-02-07,Badani unperturbed by crowd behaviour
11,2002-02-12,Special cell for Madani
12,2002-02-12,Special cell for Madani
13,2002-06-12, adanis to expand edible oil business 
14,2002-06-12,Adanis to expand edible oil business
15,2002-06-19,Thadani murder case yet to be solved
16,2002-09-19,Indian Oil; Shell eye stake in Adani gas plan
17,2002-09-19," Indian Oil, Shell eye stake in adani gas plan "
18,2002-10-10,IOC inks deal with Adani for oil import facilities
19,2002-10-10, IOC inks deal with adani for oil import facilities 
20,2002-10-26,Adani Exports Q2 net dips 54.5 pc at Rs 9.9 cr
21,2002-10-26, adani Exports Q2 net dips 54.5 pc at Rs 9.9 cr 
22,2002-10-28,4 of Madani's visitors held
23,2002-12-11,Gautam Adani arrested in cheating case
24,2002-12-11, Gautam adani arrested in cheating case 
25,2002-12-12,Adani Exports chairman held
26,2002-12-12, adani Exports chairman held 
27,2002-12-13, Court withdraws NBWs against adani 
28,2002-12-13,Court withdraws NBWs against Adani
29,2003-04-10,Badani; Dharmani in good stand
30,2003-04-11,Duleep Trophy: Badani; 129; helps Elite C post 426
31,2003-05-01,Badani determined to join Team India
32,2003-05-05,Ranji: Ramesh; Badani put Tamil Nadu in good position
33,2003-05-17,P&O Ports picks up Adani stake for $60m
34,2003-05-17, P&O Ports picks up adani stake for $60m 
35,2003-06-16, adanis plan foray into discount super-stores 
36,2003-06-16,Adanis plan foray into discount super-stores
37,2003-06-22,Badani to lead in One-dayers
38,2003-06-26, HPCL seeks role in IOC-adani venture 
39,2003-06-26,HPCL seeks role in IOC-Adani venture
40,2003-06-28,Badani takes India A to big total
41,2003-07-30, adani Export Q1 net dips 35 pc 
42,2003-07-30,Adani Export Q1 net dips 35 pc
43,2003-08-22,Adanis talking to IDFC; SIDBI for gas project
44,2003-08-22," adanis talking to IDFC, SIDBI for gas project "
45,2003-09-04, adani Exports to get Rs 74 cr from sale of investments 
46,2003-09-04,Adani Exports to get Rs 74 cr from sale of investments
47,2003-10-04,Badani becomes fourth centurian
48,2003-10-14,Adani to enter education sector
49,2003-10-14, adani mulls institute of port management 
50,2003-10-14, adani to enter education sector 
51,2003-10-14,Adani mulls institute of port management
52,2003-10-20,Badani replaces Ganguly for two ODIs
53,2003-11-16,Pathan in; Yuvraj; Badani out of Aussie tour
54,2003-12-12,Can municipal corporation halt Adani's march into Vadodara?
55,2003-12-12, Can municipal corporation halt adani's march into Vadodara? 
56,2004-04-23,Madani's bail petition posted to April 27
57,2004-05-18,HC directs transfer of two more cases against Madani
58,2004-07-07,Rohan Badani to slug it out
59,2004-07-30, adani Exports plans garment park 
60,2004-07-30,Adani Exports plans garment park
61,2004-08-27,Adani's get Govt nod to develop new SEZ
62,2004-08-27, adani's get Govt nod to develop new SEZ 
63,2004-10-05,Adanis to buy coal mines in Indonesia
64,2004-10-05, adanis to buy coal mines in Indonesia 
65,2004-10-28,CM to meet Madani
66,2004-11-30, adani Energy watches as VMC mulls over GAIL bill 
67,2004-11-30,Adani Energy watches as VMC mulls over GAIL bill
68,2005-05-04,BG eyes stake in Adani gas biz
69,2005-05-04, BG eyes stake in adani gas biz 
70,2005-06-15, Cabinet clears land for adanis' SEZ in Kutch 
71,2005-06-15,Cabinet clears land for Adanis' SEZ in Kutch
72,2005-12-07," adanis do a realty check, eye Mumbai "
73,2005-12-07,Adanis do a realty check; eye Mumbai
74,2005-12-23, Rs 1.33 cr excise recovery from adani Wilmar 
75,2005-12-23,Rs 1.33 cr excise recovery from Adani Wilmar
76,2006-01-21, adani issue: Govt tries hard to defend A-G 
77,2006-01-21,Adani issue: Govt tries hard to defend A-G
78,2006-04-01,Finmin kicks off probe into Adani group
79,2006-04-01, Finmin kicks off probe into adani group 
80,2006-04-08," adani, Ashima in realty pact "
81,2006-04-08,Adani; Ashima in realty pact
82,2006-05-29,Now; Adanis try to grab Mumbai's Khatau Mills
83,2006-05-29," Now, adanis try to grab Mumbai's Khatau Mills "
84,2006-05-31,Adanis line up Rs 6K-cr BKC project
85,2006-05-31, adanis line up Rs 6K-cr BKC project 
86,2006-06-01," Record set, adanis eye big deal "
87,2006-06-01,Record set; Adanis eye big deal
88,2006-07-29," adani biggest landlord, Ambani closing in "
89,2006-07-29,Adani biggest landlord; Ambani closing in
90,2006-09-05," Petronet, adani JV for cargo port "
91,2006-09-05,Petronet; Adani JV for cargo port
92,2006-09-09,Adanis line up Rs 800-cr debt
93,2006-09-09, adanis line up Rs 800-cr debt 
94,2006-12-08,Adanis put Rs 200-cr tag on retail biz
95,2006-12-08, adanis put Rs 200-cr tag on retail biz 
96,2006-12-11,Adanis to invest Rs 2;800 crore
97,2006-12-11," adanis to invest Rs 2,800 crore "
98,2007-01-01, adani Gujarat's biggest wealth creator of '06 
99,2007-01-01, adani Gujarat's biggest wealth creator of '06 
100,2007-01-01,Adani Gujarat's biggest wealth creator of '06
101,2007-01-01,Adani Gujarat's biggest wealth creator of '06
102,2007-01-03,Adani Wilmar eyes Marico brand Sweekar
103,2007-01-03, adani Wilmar eyes Marico brand Sweekar 
104,2007-02-07, adani topples Torrent promoter in rich list 
105,2007-02-07,Adani topples Torrent promoter in rich list
106,2007-03-08," adanis plan Rs 1,500 cr IPO "
107,2007-03-08,Adanis plan Rs 1;500 cr IPO
108,2007-03-18, adani set to enter billionaires' club soon 
109,2007-03-18,Adani set to enter billionaires' club soon
110,2007-03-20, adani set to enter billionaires' club 
111,2007-04-25, adani plans JV with Tsuneishi 
112,2007-04-25,Adani plans JV with Tsuneishi
113,2007-05-29,Sebi bans Adani promoters
114,2007-05-29, Sebi bans adani promoters 
115,2007-07-14,SAT stays Sebi ban on Adani IPO
116,2007-07-14, SAT stays Sebi ban on adani IPO 
117,2007-08-02,Cong; Left race to claim Madani
118,2007-09-05,Adanis to set up agri-hub in state
119,2007-09-05, adanis to set up agri-hub in state 
120,2007-10-26,3i India buys 8% in Adani Power
121,2007-10-26, 3i India buys 8% in adani Power 
122,2007-10-27,After Mundra IPO; Adani's wealth to touch Rs 27k cr
123,2007-10-27," After Mundra IPO, adani's wealth to touch Rs 27k cr "
124,2007-11-02,Now; Adani nets IIM-A's Dholakia as adviser
125,2007-11-02," Now, adani nets IIM-A's Dholakia as adviser "
126,2007-11-28, adani is richer than Birla now! 
127,2007-11-28,Adani is richer than Birla now!
128,2007-11-29,Adani richer than Birla after Mundra IPO
129,2007-11-29, adani richer than Birla after Mundra IPO 
130,2008-01-03, adani snaps up Nirma's Vasani 
131,2008-01-03,Adani snaps up Nirma's Vasani
132,2008-05-07,Adani plans international airport
133,2008-05-07, adani plans international airport 
134,2008-05-07, adanis moot int'l airport 
135,2008-05-07,Adanis moot int'l airport
136,2008-07-15, adani Wilmar hints at another price hike 
137,2008-07-15,Adani Wilmar hints at another price hike
138,2008-07-23, adani to reduce edible oil prices 
139,2008-07-23,Adani to reduce edible oil prices
140,2008-08-08, adanis harness rain water 
141,2008-08-08,Adanis harness rain water
142,2008-08-24, adani Co ropes in India Inc bigwigs for infra institute 
143,2008-08-24,Adani Co ropes in India Inc bigwigs for infra institute
144,2008-09-02, GMB gives clean chit to adani 's MPSEZ 
145,2008-09-02,GMB gives clean chit to Adani 's MPSEZ
146,2008-09-09, HC disposes plea against adani SEZ in Mundra 
147,2008-09-09,HC disposes plea against Adani SEZ in Mundra
148,2008-09-11,SEBI okays Adani Power's Rs 5;630 crore public offer
149,2008-09-11," SEBI okays adani Power's Rs 5,630 crore public offer "
150,2008-11-10,City NGOs too oppose Adani mine project
151,2008-11-10, City NGOs too oppose adani mine project 
152,2008-11-28,Gautam Adani felt safe in Taj toilet
153,2008-11-28,Gautam Adani felt safe in Taj toilet
154,2008-11-28, Gautam adani felt safe in Taj toilet 
155,2009-01-01, adanis mull Rs 6K-cr boost for Mundra 
156,2009-01-01,Adanis mull Rs 6K-cr boost for Mundra
157,2009-03-06,To keep Madani happy; CPM takes on ally
158,2009-03-15,For support; is CPM going easy on Madani family?
159,2009-03-15,To keep Madani happy; CPM takes on ally
160,2009-03-16,For support; is CPM going easy on Madani family?
