Date,Title,myFinbert
2003-05-17,po port pick adani stake 60m,2
2003-06-16,adanis plan foray discount superstores,2
2003-06-26,hpcl seek role iocadani venture,2
2003-07-30,adani export q1 net dip 35 pc,0
2003-08-22,adanis talking idfc sidbi gas project,2
2003-09-04,adani export get r 74 cr sale investment,1
2003-10-14,adani mull institute port management,2
2003-10-14,adani enter education sector,2
2003-12-12,municipal corporation halt adanis march vadodara,2
2004-07-30,adani export plan garment park,2
2004-08-27,adanis get govt nod develop new sez,2
2004-10-05,adanis buy coal mine indonesia,2
2004-11-30,adani energy watch vmc mull gail bill,2
2005-05-04,bg eye stake adani gas biz,2
2005-06-15,cabinet clear land adanis sez kutch,2
2005-12-07,adanis realty check eye mumbai,2
2005-12-23,r 133 cr excise recovery adani wilmar,1
2006-01-21,adani issue govt try hard defend ag,2
2006-04-01,finmin kick probe adani group,2
2006-04-08,adani ashima realty pact,2
2006-05-29,adanis try grab mumbai khatau mill,2
2006-05-31,adanis line r 6kcr bkc project,1
2006-06-01,record set adanis eye big deal,2
2006-07-29,adani biggest landlord ambani closing,2
2006-09-05,petronet adani jv cargo port,2
2006-09-09,adanis line r 800cr debt,2
2006-12-08,adanis put r 200cr tag retail biz,1
2006-12-11,adanis invest r 2800 crore,2
2007-01-01,adani gujarat biggest wealth creator 06,2
2007-01-01,adani gujarat biggest wealth creator 06,2
2007-01-03,adani wilmar eye marico brand sweekar,2
2007-02-07,adani topples torrent promoter rich list,2
2007-03-08,adanis plan r 1500 cr ipo,2
2007-03-18,adani set enter billionaire club soon,2
2007-03-20,adani set enter billionaire club,2
2007-04-25,adani plan jv tsuneishi,2
2007-05-29,sebi ban adani promoter,2
2007-07-14,sat stay sebi ban adani ipo,2
2007-09-05,adanis set agrihub state,1
2007-10-26,3i india buy 8 adani power,2
2007-10-27,mundra ipo adanis wealth touch r 27k cr,1
2007-11-02,adani net iimas dholakia adviser,2
2007-11-28,adani richer birla,2
2007-11-29,adani richer birla mundra ipo,2
2008-01-03,adani snap nirmas vasani,2
2008-05-07,adani plan international airport,2
2008-05-07,adanis moot intl airport,2
2008-07-15,adani wilmar hint another price hike,1
2008-07-23,adani reduce edible oil price,2
2008-08-08,adanis harness rain water,2
2008-08-24,adani co rope india inc bigwig infra institute,2
2008-09-02,gmb give clean chit adani mpsez,2
2008-09-09,hc disposes plea adani sez mundra,2
2008-09-11,sebi okay adani power r 5630 crore public offer,2
2008-11-10,city ngo oppose adani mine project,2
2008-11-28,gautam adani felt safe taj toilet,2
2009-01-01,adanis mull r 6kcr boost mundra,1
2009-03-26,adani block denied nod earlier,2
2009-04-21,adani plan ipo scale plan,2
2009-05-07,rioting adani power plant worker dy mishap,2
2009-06-18,sebi penalises broker fraudulent trading adani scrip,2
2009-06-25,adani power ipo cleared,2
2009-07-02,adani study group meet tomorrow,2
2009-07-08,ecopro chief launch fast unto death adani mine,2
2009-07-28,adani ipo brings anchor investor,2
2009-07-28,cong sena say adani mine,2
2009-07-30,vidarbha mp join hand write pm adani mine issue,2
2009-07-30,adani protester emulate tilak,2
2009-07-31,adani opposer write letter blood prez,2
2009-08-01,roll protest send back adani project,2
2009-08-01,adani power ipo subscribed 21 time,2
2009-08-03,cong ncp split adani mine,2
