Date,Title,myBERT
5/17/2003,po port pick adani stake 60m,1
6/16/2003,adanis plan foray discount superstores,1
6/26/2003,hpcl seek role iocadani venture,1
7/30/2003,adani export q1 net dip 35 pc,1
8/22/2003,adanis talking idfc sidbi gas project,1
9/4/2003,adani export get r 74 cr sale investment,2
10/14/2003,adani mull institute port management,1
10/14/2003,adani enter education sector,1
12/12/2003,municipal corporation halt adanis march vadodara,1
7/30/2004,adani export plan garment park,1
8/27/2004,adanis get govt nod develop new sez,1
10/5/2004,adanis buy coal mine indonesia,1
11/30/2004,adani energy watch vmc mull gail bill,1
5/4/2005,bg eye stake adani gas biz,2
6/15/2005,cabinet clear land adanis sez kutch,1
12/7/2005,adanis realty check eye mumbai,1
12/23/2005,r 133 cr excise recovery adani wilmar,1
1/21/2006,adani issue govt try hard defend ag,1
4/1/2006,finmin kick probe adani group,1
4/8/2006,adani ashima realty pact,1
5/29/2006,adanis try grab mumbai khatau mill,1
5/31/2006,adanis line r 6kcr bkc project,1
6/1/2006,record set adanis eye big deal,1
7/29/2006,adani biggest landlord ambani closing,2
9/5/2006,petronet adani jv cargo port,1
9/9/2006,adanis line r 800cr debt,1
12/8/2006,adanis put r 200cr tag retail biz,1
12/11/2006,adanis invest r 2800 crore,1
1/1/2007,adani gujarat biggest wealth creator 06,1
1/1/2007,adani gujarat biggest wealth creator 06,1
1/3/2007,adani wilmar eye marico brand sweekar,1
2/7/2007,adani topples torrent promoter rich list,1
3/8/2007,adanis plan r 1500 cr ipo,1
3/18/2007,adani set enter billionaire club soon,2
3/20/2007,adani set enter billionaire club,1
4/25/2007,adani plan jv tsuneishi,1
5/29/2007,sebi ban adani promoter,1
7/14/2007,sat stay sebi ban adani ipo,2
9/5/2007,adanis set agrihub state,1
10/26/2007,3i india buy 8 adani power,2
10/27/2007,mundra ipo adanis wealth touch r 27k cr,1
11/2/2007,adani net iimas dholakia adviser,1
11/28/2007,adani richer birla,1
11/29/2007,adani richer birla mundra ipo,1
1/3/2008,adani snap nirmas vasani,2
5/7/2008,adani plan international airport,1
5/7/2008,adanis moot intl airport,1
7/15/2008,adani wilmar hint another price hike,2
7/23/2008,adani reduce edible oil price,1
8/8/2008,adanis harness rain water,1
8/24/2008,adani co rope india inc bigwig infra institute,1
9/2/2008,gmb give clean chit adani mpsez,1
9/9/2008,hc disposes plea adani sez mundra,1
9/11/2008,sebi okay adani power r 5630 crore public offer,1
11/10/2008,city ngo oppose adani mine project,1
11/28/2008,gautam adani felt safe taj toilet,2
1/1/2009,adanis mull r 6kcr boost mundra,1
3/26/2009,adani block denied nod earlier,2
4/21/2009,adani plan ipo scale plan,1
5/7/2009,rioting adani power plant worker dy mishap,1
6/18/2009,sebi penalises broker fraudulent trading adani scrip,1
6/25/2009,adani power ipo cleared,1
7/2/2009,adani study group meet tomorrow,1
7/8/2009,ecopro chief launch fast unto death adani mine,2
7/28/2009,adani ipo brings anchor investor,2
7/28/2009,cong sena say adani mine,2
7/30/2009,vidarbha mp join hand write pm adani mine issue,1
7/30/2009,adani protester emulate tilak,2
7/31/2009,adani opposer write letter blood prez,2
8/1/2009,roll protest send back adani project,2
8/1/2009,adani power ipo subscribed 21 time,1
8/3/2009,cong ncp split adani mine,1
8/4/2009,mungantiwar ultimatum state adani mine,1
8/7/2009,moef official study adani plant impact nagzira,1
8/12/2009,state govt turn adani proposal,1
8/13/2009,report damn adani coal project,1
8/20/2009,adani power listed bse,1
8/20/2009,adani listing set pace,2
8/21/2009,adani power list 5 premium loses steam,1
8/29/2009,r 264 adani offer cheapest power state,1
10/1/2009,plea early hc want status adani mine,1
12/1/2009,novel adani school inaugurated,2
12/1/2009,novel adani school inaugurated,2
12/4/2009,panel ‘ ’ adani mine near tadoba,1
12/4/2009,panel ‘ ’ adani mine near tadoba,1
12/4/2009,victory people,1
12/6/2009,centre allot coal block stalled adani project,1
2/2/2010,adani power plant tiroda face hurdle praful,2
2/10/2010,adani refuse honour power deal,1
2/27/2010,adani get bail gujarat high court,1
2/27/2010,adani enterprise md arrested custom duty evasion,1
2/28/2010,gautam adani,1
2/28/2010,adani md arrested tax evasion get bail,1
3/3/2010,hc pull cbi delaying adani release,2
3/17/2010,adani right issue r 475share soon,2
3/23/2010,adani relieved man,2
4/20/2010,ipl bid mystery missing paper,2
4/21/2010,ipl bid paper share detail adani group,1
4/22/2010,adani say missing file denies free equity offer,1
6/1/2010,ravi sharma ceo adani power,1
6/2/2010,adani upbeat finishing pipeline schedule,1
6/5/2010,missing paper raise stink,0
6/14/2010,need unified command gujarat,1
6/21/2010,ntca state official visit tiroda,1
6/28/2010,rajpath poll draw mover shaker,2
7/22/2010,adanis qip r 4k cr fully subscribed,1
8/1/2010,autorickshaw driver protest another cng price hike,2
8/1/2010,pvt co provide 40 power 2012,1
8/3/2010,adani buy coal asset oz,2
8/3/2010,adani buy linc energy coal mine r 12600cr,1
8/4/2010,adani buy coal mine oz 12221 crore,2
8/10/2010,oz adanis eye coal mine south africa,1
8/13/2010,high court okay merger adani group company,1
8/13/2010,declare nagzira tiger reserve urge conservationist,2
8/21/2010,hearing interim bail mining firm adjourned,1
8/25/2010,ahmedabad adani,1
8/26/2010,adanis ink mining pact indonesia,1
9/1/2010,hc stay construction 1000 ha mpsez,2
9/1/2010,afforestation bsf land near border hc issue notice,2
9/4/2010,ggcl increase cng price 8,2
9/21/2010,adani invest r 14000 crore,1
9/23/2010,saina brand ambassador edible oil product,1
10/5/2010,hyd sisterly tieup oz,2
10/5/2010,adani 2bn bid port,1
10/14/2010,adani may tie cil,1
10/17/2010,planner sea designing city development story,1
10/19/2010,want foreign coal adani asks coal india,2
10/29/2010,ca pressure accept private investor,1
10/29/2010,indian money fuel aussie version ipl report,1
11/25/2010,authority raid oil co godown defective stock worth r 23l found,0
11/30/2010,adani fined encroaching revenue land,0
12/1/2010,3i launch 3bn india infra fund,2
12/3/2010,ruckus adani plant labourer fall boiler,2
12/11/2010,two labourer die accident adani plant,2
12/20/2010,coal importer bhatia adani get boot,1
12/23/2010,ajit pawars visit adani spark political storm,2
1/4/2011,political donor dont discriminate study,1
1/12/2011,adani group announces r 80k cr investment gujarat,1
2/11/2011,adani get new wing buy chopper fly airport,2
2/23/2011,colour childrens hospital get iso certified,1
3/4/2011,destination cambay exbabu sanjay gupta,1
4/12/2011,mlas seek action power firm,1
4/13/2011,govt promise action encroachment adani forest land,1
5/2/2011,yet another accidental death adani plant,1
5/3/2011,adani acquires australian port 2 billion,2
5/4/2011,adani buy oz port 9k cr,2
5/27/2011,adanis propose invest r 7k crore bihar,1
5/28/2011,adani want set thermal power plant bihar,2
6/3/2011,labourer dy mysteriously,2
6/7/2011,adani india ’ largest pvt thermal power producer,1
6/9/2011,gondia village go dry,2
6/9/2011,deer found dead near adani thermal plant,1
6/10/2011,mci give nod college sola bhuj,2
6/11/2011,adani may consider building port mah,1
6/17/2011,labourer dy freak mishap,2
6/23/2011,land acquisition mpsez legal high court,1
6/27/2011,canadian co eye stake adani power,1
7/4/2011,woman mistaken man made pay tax,1
7/8/2011,cost jnpts 4th terminal rise 20,2
7/9/2011,hc stay transfer bhuj hospital adani,1
7/11/2011,ntca study adani impact nagzira wildlife sanctuary,1
7/17/2011,oppn adani power plant chhindwara grows,2
7/27/2011,adanis reserve seat kutch bhuj medical college,1
7/27/2011,adanis reserve seat kutch bhuj medical college,1
7/30/2011,jindal adani co tank karnataka mining scam,1
8/1/2011,storm brewing adani power project chhindwara,1
8/2/2011,sensex rally u averts default,1
8/3/2011,20 co bid orissa umpp,2
8/4/2011,adani power net jump 54 r 177 crore,2
8/9/2011,gspcadani group jv set lng terminal mundra,1
8/30/2011,gcci sign mou ced promote young entrepreneur,1
9/3/2011,govt okay bhavnagar dahej alternate port site dholera khambhat,1
9/9/2011,price hike put strain household budget,0
10/13/2011,msedcl let adani get away failing supply 475mw,2
10/27/2011,desi company set feature among world top 10 coal miner,1
10/28/2011,indian firm jolted china social security plan,1
11/9/2011,price issue trigger bg exit gujarat gas,2
11/11/2011,tension adani labourer digging road village,2
11/12/2011,pace infra growth still fast enough adani,2
11/12/2011,mla bopche flays adani management,1
11/13/2011,worker dy mishap adani power plant,1
11/15/2011,adani dispute villager move court police highhandedness,2
11/23/2011,farmer adani plant vicinity want police protection,1
11/26/2011,gulita bid opened middec,2
11/26/2011,anil ambani others bid hul property,2
11/28/2011,corporates vie bldrs grab realty pie,1
12/2/2011,iitgandhinagar want young blood hunt professor,2
12/2/2011,iitgandhinagar want young blood hunt professor,2
12/20/2011,kalpasar break ground 2013,2
12/23/2011,branded edible oil price due falling rupee,2
12/24/2011,branded edible oil price rise falling,0
12/24/2011,industrial user feel heat gas price rise,1
1/3/2012,adani kpt join hand satellite port tuna,1
1/6/2012,country ’ largest solar power plant go online,1
1/8/2012,adani group sport newlook soon,2
1/10/2012,illegal barrage made adani collapse dec rain,1
1/15/2012,tata ambani agarwal ruia adani among 17 show strength power woe,1
1/17/2012,gspc continue egypt exploration,1
1/19/2012,hc endorses justice r mehta lokayukta,2
1/19/2012,pm seek 30 day tackle power crisis,1
1/20/2012,adani group soaring scrip leave bourse gasping,2
1/23/2012,angul villager boycott election,2
2/8/2012,labourer killed adani plant,2
2/10/2012,adanis exit realty put mumbai site block,1
2/13/2012,two youth arrested cheating,1
2/22/2012,adani seal r 900cr land deal mumbai,2
2/24/2012,adani family buy group ’ realty business,2
2/25/2012,diversion ongc gas power say panel,2
3/1/2012,cong alleges govtbiz link spark furore,2
3/3/2012,unrelenting gohil suspended,2
3/4/2012,narendra modi busy distributing land tata adani ruia sanjay nirupam,1
3/4/2012,availability water drawing plant gondia bhandara,1
3/5/2012,adani pact provide 4 mt coal ntpc,1
3/8/2012,congress gherao assembly,1
3/10/2012,congress denied rally permission,1
3/11/2012,adani mine make comeback lohara,2
3/12/2012,state say cbi probe b yeddyurappa,1
3/13/2012,mundra world ’ largest coalfired pvt power plant,2
3/13/2012,adani forcing farmer vacate land,1
