,years,Total Share Capital,Total Shareholders Funds,Total Non-Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Total Non-Current Assets,Total Assets,Contingent Liabilities,Non-Current Investments Unquoted Book Value
0,22-Mar,537.82,26531.08,41159.57,6813.4,74670.58,9909.66,129.01,65876.82,74670.58,6168.34,36371.7
1,21-Mar,512.18,21740.58,31570.43,5080.79,58558.33,10210,72.27,50610.37,58558.33,4925.32,20768.88
2,20-Mar,503.44,19795.73,25302.58,6547.8,51812.64,10500.3,82.46,41394.5,51812.64,4308.59,15603.89
3,19-Mar,514.13,20425.73,18700.51,8132.3,47424.42,8985.37,88.85,35149.27,47424.42,8093.65,13455.48
4,18-Mar,505.88,18209.07,19590.61,2868.05,40833.61,7896.68,59.98,30617.42,40833.61,4413.74,10023.13
5,17-Mar,498.31,16783.09,16833.81,5464.95,39247.73,8328.08,61.51,29279.76,39247.73,3636.79,9515.65
6,16-Mar,414.19,13565.81,11074.91,6488.49,31129.21,8466.17,57.4,25209.39,31129.21,4319.89,5184.77
7,15-Mar,416.82,11203.16,10257.88,4346.06,25807.1,8404.07,57.85,19824.01,25807.1,3850.61,4762.28
8,14-Mar,416.82,9335.89,9699.38,1869.11,20904.38,8481.42,55.82,16121.89,20904.38,1793.49,1786.26
9,13-Mar,403.49,6703.97,8574.11,2977.21,18255.29,7709.37,59.05,13548.38,18255.29,5985.49,1207.29
10,12-Mar,403.49,5221.44,5166.07,2789.05,13176.56,5742.89,62.18,12140.67,13176.56,5480.75,1837.55
11,11-Mar,403.49,4294.07,1930.01,2285.1,8509.18,5240.24,65.41,7908.9,8509.18,1509.34,715.04
12,10-Mar,403.49,3488.24,1778.36,2772.58,8039.18,4113.43,96.51,6325.58,8039.18,1069.41,721.03
13,9-Mar,403.49,2945.27,2101.98,1447.37,6494.63,3155.11,96.31,4915.72,6494.63,877.39,301.75
14,8-Mar,403.49,2612.51,1957.95,1157.82,5728.28,2748.73,93.1,4330.33,5728.28,545.1,257.11
15,7-Mar,363.24,746.35,1248.01,1053.17,3047.53,1902.15,81.33,2491.72,3047.53,423.25,78.99
16,6-Mar,183.03,598.56,937.55,780.28,2321.61,1403.83,81.12,2051.94,2321.61,209.24,122.82
17,5-Mar,142.81,532.21,522.75,672.83,1791.24,999.54,126.76,1645.79,1791.24,124.33,32.03
18,4-Mar,142.81,468.3,254.87,538.67,1291.16,693.12,1.12,1110.18,1291.16,183.26,206.06
