Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital
"1,383.82","1,383.82",86.93,152.5,304.13,840.26,"1,458.58","2,298.84",744.37,"1,554.47",-3.69,191.85,191.85,432.03
"1,378.24","1,378.24",70.64,152.1,909.83,245.67,428.06,673.73,650.46,23.27,23.27,11.4,11.4,432.03
"1,220.58","1,220.58",59.75,154.74,"1,339.39",-333.3,514.67,181.37,632.22,-450.85,-450.85,-298.18,-298.18,422.47
"1,254.51","1,254.51",77.38,153.64,"1,564.59",-541.1,597.48,56.38,653.34,-596.96,-596.96,-384.5,-384.5,422.47
"1,057.78","1,057.78",57.19,149.3,880.57,-29.28,566.38,537.1,670.58,-133.48,-624.71,-602.49,-602.49,422.47
"1,078.51","1,078.51",58.44,153.68,319.4,546.99,777.47,"1,324.46",659.8,664.66,664.66,483.37,483.37,408.35
"1,090.02","1,090.02",64.88,155.65,291.84,577.65,656.29,"1,233.94",630.9,603.04,482.44,328.74,328.74,408.35
"1,210.82","1,210.82",60.01,156.16,686.2,308.45,519.18,827.63,533.36,294.27,294.27,188.4,188.4,408.35
"1,192.29","1,192.29",55.51,153.27,325.5,658.01,478.33,"1,136.34",661.03,475.31,475.31,323.08,323.08,406.35
"1,305.18","1,305.18",60.92,155.92,141.67,946.67,611.77,"1,558.44",614.2,944.24,944.24,622.55,622.55,406.35
"1,081.96","1,081.96",60.2,155.7,-158.52,"1,024.58",597.67,"1,622.25",563.9,"1,058.35","1,058.35",695.72,695.72,406.35
797.72,797.72,58.38,154.29,244.13,340.92,578.54,919.46,487.72,431.74,431.74,286.58,286.58,406.35
"1,185.05","1,185.05",54.63,156.11,"1,406.65",-432.34,"1,199.21",766.87,371.34,395.53,395.53,500.29,500.29,406.35
"1,182.76","1,182.76",53.4,137.45,439.48,552.43,559.26,"1,111.69",450.19,661.5,661.5,458.93,458.93,406.35
"1,071.14","1,071.14",56.65,130.94,797,86.55,633.92,720.47,492.82,227.65,227.65,485.8,485.8,406.35
"1,204.33","1,204.33",59.93,128.79,341.61,674,510.58,"1,184.58",437.53,747.05,747.05,489.23,489.23,414.19
"1,594.28","1,594.28",71.36,126.15,335.11,"1,061.66",572.35,"1,634.01",491.36,"1,142.65","1,020.75",674.48,674.48,414.19
"1,457.60","1,457.60",51.26,111.49,59.8,"1,235.05",465.78,"1,700.83",457.59,"1,243.24","1,243.24",916.32,916.32,414.19
"1,203.27","1,203.27",56.16,121.88,783.14,242.09,852.45,"1,094.54",250.17,844.37,844.37,687.56,687.56,414.19
"1,081.23","1,081.23",52.11,114.69,588.75,325.68,452.32,778,222.72,555.28,555.28,359.36,359.36,414.19
"1,944.35","1,944.35",48.39,116.55,850.83,928.58,478.36,"1,406.94",390.87,"1,016.07","1,016.07",700.59,700.59,414.19
"1,417.28","1,417.28",46.67,113.88,109.91,"1,146.82",407.59,"1,554.41",314.54,"1,239.87",942.49,525.99,525.99,414.19
"1,526.74","1,526.74",42.87,120.84,323.59,"1,039.44",380.5,"1,419.94",367.47,"1,052.47","1,052.47",681.85,681.85,414.19
"1,805.77","1,805.77",55.85,126.43,622.72,"1,000.77",340.87,"1,341.64",384,957.64,957.64,590.71,590.71,414.19
"1,234.85","1,234.85",50.09,136.2,98.73,949.83,395.88,"1,345.71",416.39,929.32,929.32,837.49,837.49,414.19
"1,309.83","1,324.50",55.22,135.86,343.44,789.98,283.36,"1,073.34",264.66,808.68,744.34,744.34,744.34,414.19
"1,277.92","1,301.87",56.65,133.31,254.91,857,295.91,"1,152.91",217.65,935.26,935.26,916.67,916.67,414.19
"1,020.81","1,055.16",49.03,135.34,284.89,585.9,272,857.9,238.22,619.68,619.68,602.84,602.84,414.19
942.35,942.35,46.03,118.85,279.16,498.31,382.68,880.99,152.16,728.83,728.83,653.32,653.32,414.19
"1,027.38","1,060.31",43.04,143.56,279.82,593.89,282.81,876.7,212.58,664.12,664.12,636.14,636.14,414.19
"1,539.07","1,559.67",50.53,132.03,300.48,"1,076.63",263.02,"1,339.65",259.85,"1,079.80","1,079.80","1,059.51","1,059.51",414.19
"1,048.16","1,065.10",39.32,124.88,273.52,627.38,236,863.38,229.86,633.52,633.52,615.91,615.91,414.19
933.62,960.28,39.03,120.1,280.41,520.74,177.38,698.12,183.59,514.53,514.53,554.47,554.47,414.01
922.82,953.73,49.33,125.88,279.59,498.93,224.96,723.89,187.84,536.05,536.05,594.2,594.2,414.01
849.5,"1,110.27",40.15,122.99,328.42,618.71,169.06,787.77,227.48,560.29,560.29,529.37,529.37,414.01
854.01,878.73,29.05,119.65,246.91,483.12,164.06,647.18,109.88,537.3,537.3,505.1,505.1,414.01
801.08,870.23,29.22,109.22,273.15,458.64,171.42,630.06,45.74,584.32,584.32,528.35,528.35,414.01
801.84,879.97,37.43,121.76,273.81,446.97,172.04,619.01,103.21,515.8,515.8,477.05,477.05,414.01
794.1,877.79,25.58,120.03,231.93,500.25,250.08,750.33,327.13,423.2,423.2,347.62,347.62,414.01
"1,638.78","1,717.79",24.77,104.7,709.82,878.5,86.21,964.71,277.78,686.93,686.93,663.15,663.15,414.01
771.51,915.19,24.32,97.22,238.51,555.14,115.97,671.11,121.65,549.46,549.46,490.77,490.77,400.68
868.23,892.18,24.44,91.47,215.77,560.5,35.18,595.68,158.16,437.52,437.52,415.43,415.43,400.68
697.58,764.27,30.98,81.02,162.36,489.91,30.57,520.48,52.46,468.02,468.02,429.56,429.56,400.68
773.82,789.41,24.64,77.74,164.74,522.29,21.53,543.82,109.63,434.19,434.19,418.42,418.42,400.68
617.1,641.88,21.65,76.74,162.69,380.8,8.35,389.15,29.74,359.41,359.41,338.88,338.88,400.68
655.37,690.62,23.04,70.19,186.15,411.23,2.82,414.05,78.31,335.75,335.75,310.6,310.6,400.68
587.76,619.72,23.66,67.86,185.45,342.76,6.68,349.44,46.44,303,303,273.42,273.42,400.68
516.08,529.62,20.57,58.71,146.18,304.17,0.41,304.58,33.15,271.43,271.43,254.37,254.37,400.68
573.53,604.94,16.92,58.64,146.39,382.98,42.93,425.91,36.88,389.02,389.02,334.73,334.73,400.68
450.77,450.77,14.83,53.12,126.13,256.69,0.87,257.57,13.27,244.3,244.3,228.47,228.47,400.68
413.51,413.51,19.36,48.48,120.43,225.24,9.48,234.72,9.16,225.56,225.56,211.67,211.67,400.68
415.65,415.65,14.72,47.63,111.4,241.92,0.77,242.68,24.68,218,218,211.3,211.3,400.68
