months,Employees Cost,Depreciation,Total Income From Operations
2022-12,70.64,152.1,1378.24
2022-09,59.75,154.74,1220.58
2022-06,77.38,153.64,1254.51
2022-03,57.19,149.3,1057.78
2021-12,58.44,153.68,1078.51
2021-09,64.88,155.65,1090.02
2021-06,60.01,156.16,1210.82
2021-03,55.51,153.27,1192.29
2020-12,60.92,155.92,1305.18
2020-09,60.2,155.7,1081.96
2020-06,58.38,154.29,797.72
2020-03,54.63,156.11,1185.05
2019-12,53.4,137.45,1182.76
2019-09,56.65,130.94,1071.14
2019-06,59.93,128.79,1204.33
2019-03,71.36,126.15,1594.28
2018-12,51.26,111.49,1457.6
2018-09,56.16,121.88,1203.27
2018-06,52.11,114.69,1081.23
2018-03,48.39,116.55,1944.35
2017-12,46.67,113.88,1417.28
2017-09,42.87,120.84,1526.74
2017-06,55.85,126.43,1805.77
2017-03,50.09,136.2,1234.85
2016-12,55.22,135.86,1324.5
2016-09,56.65,133.31,1301.87
2016-06,49.03,135.34,1055.16
2016-03,46.03,118.85,942.35
2015-12,43.04,143.56,1060.31
2015-09,50.53,132.03,1559.67
2015-06,39.32,124.88,1065.1
2015-03,39.03,120.1,960.28
2014-12,49.33,125.88,953.73
2014-09,40.15,122.99,1110.27
2014-06,29.05,119.65,878.73
2014-03,29.22,109.22,870.23
2013-12,37.43,121.76,879.97
2013-09,25.58,120.03,877.79
2013-06,24.77,104.7,1717.79
2013-03,24.32,97.22,915.19
2012-12,24.44,91.47,892.18
2012-09,30.98,81.02,764.27
2012-06,24.64,77.74,789.41
2012-03,21.65,76.74,641.88
2011-12,23.04,70.19,690.62
2011-09,23.66,67.86,619.72
2011-06,20.57,58.71,529.62
2011-03,16.92,58.64,604.94
2010-12,14.83,53.12,450.77
2010-09,19.36,48.48,413.51
2010-06,14.72,47.63,415.65
2010-03,15.92,50.13,420.54
2009-12,14.18,43.31,337.84
2009-09,12.68,38.92,327.37
2009-06,11.3,35.78,306.77
2009-03,10.46,39.14,284.51
2008-12,8.91,34.75,300.89
2008-09,8.73,32.18,296
2008-06,8.61,31.16,253.73
2008-03,8.71,29.15,328.65
2007-12,6.22,26.89,205.35
